"Add New Translation","添加翻譯語句"
"City","市"
"Country","國家"
"County","縣"
"Default Country","默認國家"
"Disabled Countries","禁用國家"
"Edit Translation","編輯翻譯語句"
"Enabled Countries","啟用國家"
"Leave blank if all countries are allowed","若所有國家可用請留空"
"Locale","區域"
"Original","原文"
"Postcode","郵政編碼"
"Region","省"
"Translated","譯文"
"Translation","翻譯"
"Translation Management","翻譯管理"
"AUS Central Standard Time (Australia/Darwin)","澳大利亞中部標準時間 (澳大利亞/達爾文)"
"AUS Eastern Standard Time (Australia/Melbourne)","澳大利亞東部標準時間 (澳大利亞/墨爾本)"
"AUS Eastern Standard Time (Australia/Sydney)","澳大利亞東部標準時間 (澳大利亞/悉尼)"
"Afghanistan Standard Time (Asia/Kabul)","阿富汗標準時間 (亞洲/喀布爾)"
"Alaskan Standard Time (America/Anchorage)","阿拉斯加標準時間 (美洲/安克雷奇)"
"Alaskan Standard Time (America/Juneau)","阿拉斯加標準時間 (美洲/朱諾)"
"Alaskan Standard Time (America/Nome)","阿拉斯加標準時間 (美洲/諾姆)"
"Alaskan Standard Time (America/Sitka)","阿拉斯加標準時間 (美洲/錫特卡)"
"Alaskan Standard Time (America/Yakutat)","阿拉斯加標準時間 (美洲/亞庫塔特)"
"Arab Standard Time (Asia/Aden)","阿拉伯標準時間 (亞洲/亞丁)"
"Arab Standard Time (Asia/Bahrain)","阿拉伯標準時間 (亞洲/巴林)"
"Arab Standard Time (Asia/Kuwait)","阿拉伯標準時間 (亞洲/科威特)"
"Arab Standard Time (Asia/Qatar)","阿拉伯標準時間 (亞洲/卡塔爾)"
"Arab Standard Time (Asia/Riyadh)","阿拉伯標準時間 (亞洲/利雅得)"
"Arabian Standard Time (Asia/Dubai)","阿拉伯標準時間 (亞洲/迪拜)"
"Arabian Standard Time (Asia/Muscat)","阿拉伯標準時間 (亞洲/馬斯喀特)"
"Arabian Standard Time (Etc/GMT-4)","阿拉伯標準時間 (ETC/GMT-4)"
"Arabic Standard Time (Asia/Baghdad)","阿拉伯標準時間 (亞洲/巴格達)"，
"Argentina Standard Time (America/Argentina/La_Rioja)","阿根廷標準時間 (美洲/阿根廷/拉裏奧哈)"
"Argentina Standard Time (America/Argentina/Rio_Gallegos)","阿根廷標準時間 (美洲/阿根廷/裏奧加耶戈斯)"
"Argentina Standard Time (America/Argentina/Salta)","阿根廷標準時間 (美洲/阿根廷/薩爾塔)"
"Argentina Standard Time (America/Argentina/San_Juan)","阿根廷標準時間 (美洲/阿根廷/聖胡安)"
"Argentina Standard Time (America/Argentina/San_Luis)","阿根廷標準時間 (美洲/阿根廷/聖路易斯)"
"Argentina Standard Time (America/Argentina/Tucuman)","阿根廷標準時間 (美洲/阿根廷/圖庫曼)"
"Argentina Standard Time (America/Argentina/Ushuaia)","阿根廷標準時間 (美洲/阿根廷/烏斯懷亞)"
"Argentina Standard Time (America/Buenos_Aires)","阿根廷標準時間 (美洲/布宜諾斯艾利斯)"
"Argentina Standard Time (America/Catamarca)","阿根廷標準時間 (美洲/卡塔馬卡)"
"Argentina Standard Time (America/Cordoba)","阿根廷標準時間 (美洲/科爾多瓦)"
"Argentina Standard Time (America/Jujuy)","阿根廷標準時間 (美洲/胡胡伊)"
"Argentina Standard Time (America/Mendoza)","阿根廷標準時間 (美洲/門多薩)"
"Atlantic Standard Time (America/Glace_Bay)","大西洋標準時間 (美洲/格萊斯貝)"
"Atlantic Standard Time (America/Goose_Bay)","大西洋標準時間 (美洲/古斯灣)"
"Atlantic Standard Time (America/Halifax)","大西洋標準時間 (美洲/哈利法克斯)"
"Atlantic Standard Time (America/Moncton)","大西洋標準時間 (美洲/蒙克頓)"
"Atlantic Standard Time (America/Thule)","大西洋標準時間 (美洲/圖勒)"
"Atlantic Standard Time (Atlantic/Bermuda)","大西洋標準時間 (大西洋/百慕大)"
"Azerbaijan Standard Time (Asia/Baku)","阿塞拜疆標準時間 (亞洲/巴庫)"
"Azores Standard Time (America/Scoresbysund)","亞速爾群島標準時間 (美洲/斯科斯比松)"
"Azores Standard Time (Atlantic/Azores)","亞速爾群島標準時間 (大西洋/亞速爾群島)"
"Bahia Standard Time (America/Bahia)","巴伊亞標準時間 (美洲/巴伊亞)"
"Bangladesh Standard Time (Asia/Dhaka)","孟加拉國標準時間 (亞洲/達卡)"
