"Apply","使用"
"Actual Points=X points per unit(Allowed decimal)","實際獲取積分=獲取範圍內金額×消費可獲取積分比例（可填寫小數）"
"Available Reward Points","可用積分"
"Balance Updated Email","余額變更郵件"
"Cancel Earned Points After Order Refunding","訂單退款後取消已獲得積分"
"Consumption","消費"
"Comments less than words entered here cannot get points","少於此處輸入字數的評論無法獲取積分"
"Customer's Birthday","顧客生日"
"Daily Maximum Points for Sharing","分享獲取積分每日上限"
"Days Before Activation","X天後生效"
"Days Before Expiration","X天後過期"
"Deductible unit currency=use reward points X units per point(Allowed decimal).","抵扣單位貨幣=可使用積分×使用比例（可輸入小數）"
"Displayed Title","顯示標題"
"Fill in the blank or 0 points for every single said no limit","留空或填0表示每單積分獲取無上限"
"Fill in the blank or 0 customers daily share information can be obtained without reward points upper limit","留空或填0表示顧客每日分享信息可獲取積分無上限"
"Fixed maximum available points","固定最高可使用的積分"
"gathered","獲得"
"Gathering Rule","獲取規則"
"Gathering Rate","消費可獲取積分比例"
"Including Shipping &amp; Tax","包含運費及稅費"
"Leave empty to avoid the limitation.","留空以禁用該限制"
"Maximum deductible amount","可抵扣金額最高百分比"
"Maximum Points for Each Order","每單可獲取積分上限"
"Maximum Points use Each Order","每單可使用積分上限"
"Maximum Points Calculation","每單可獲取積分上限計算方式"
"Maximum Points use Calculation","每單可使用積分上限計算方式"
"Minimal Amount of Orders","訂單最小金額"
"Minimum Number of Words in the Review","評論最少字數"
"Minimum Points Balance","最低積分余額"
"Newsletter Signup","訂閱郵件"
"Notifications","通知"
"Not available until cron job runs.","計劃任務運行時可用。"
"Orders can be obtained within the reward points range of the amount below the input figures will not get points","訂單可獲取積分範圍內金額低於此處輸入數字則不獲取積分"
"Points","積分"
"Points for Customer's Birthday Email","顧客生日贈送積分郵件"
"Points Expiring Email","積分過期提醒郵件"
"Registration","註冊"
"Reviewing Product","評論產品"
"Restore Spent Points After Order Refunding","訂單退款後返還已使用積分"
"Reward Points","積分抵扣"
"RewardPoint Info","積分說明"
"Reward Points Statement","積分記錄"
"Sharing to Social Medias","分享到社交媒體"
"Subtotal Only","僅計算小計金額"
"System Adjustment","系統調整"
"The distributed points will be available in %d days and will be disabled while the order refunded.","註：因推廣獲得的不可用積分默認為不可用狀態，需從獲取時間起凍結%d天後可用，若中途買家退款，則積分收回"
"The number of points can be obtained according to the customer behavior, blank or fill in 0 said that this behavior cannot obtain the reward points","根據顧客行為可獲得的積分數量，留空或填0表示此行為無法獲得積分"
"Unavailable Reward Points","待獲取積分"
"used","使用"
"Using","使用範圍"
"Using Rate","使用比例"
"Using Rule","使用規則"
"User residual reward points number below the input number can not use reward points","用戶剩余積分數量低於此處輸入數則不可使用積分"
"View Account Points","查看賬戶積分"
"X points per unit.","每單位貨幣X積分"
"X units per point.","每積分X單位貨幣"
"You have %d points left. You can use %d for current transaction.","您當前有%d積分。您可以使用%d積分進行當前操作。"
"Reward Points Management","積分管理"
"Reward Points List","積分流水"
"Account Reward Points","賬戶余額"
"Reward Points Statistics With Customer","積分顧客統計"
