"%d token(s) have been granted successfully.","已成功授權%d個令牌。"
"%d token(s) have been revoked successfully.","已成功撤銷授權%d個令牌。"
"<strong>%s</strong> may get your basic infomation.","<strong>%s</strong>將可以獲取您的基本信息。"
"Add New Consumer","新建使用者"
"Add New SOAP Role","新建SOAP角色"
"Add New SOAP User","新建SOAP用戶"
"Administrator","管理員"
"Admin ID","管理員ID"
"An error detected while granting. Please check the log report or try again.","授權時發生了錯誤。請查看錯誤日誌或重試。"
"An error detected while revoking. Please check the log report or try again.","撤銷授權時發生了錯誤。請查看錯誤日誌或重試。"
"Anonymous","匿名"
"Attribute","屬性"
"Attribute Rules","屬性規則"
"Authorized OAuth Tokens","OAuth已授權令牌"
"Callback Url","回調Url"
"Client Key","客戶端編碼"
"Client Secret","客戶端密鑰"
"Consumer","使用者"
"Customer ID","顧客ID"
"Edit Attribute Rules","編輯屬性規則"
"Edit Consumer","編輯使用者"
"Edit SOAP Role","編輯SOAP角色"
"Edit SOAP User","編輯SOAP用戶"
"Encrypt Result","加密結果"
"Granted","已授權"
"I have already known the risks and agreed <strong>%s</strong> to get my basic infomation.","我已了解風險並同意<strong>%s</strong>獲取我的基本信息。"
"Leave blank to generate keys automatically.","留空以自動生成密鑰。"
"Modify Encryption Key","修改密鑰"
"OAuth Consumer","OAuth使用者"
"Please make sure you have known the usage and risks of APIs.","請確認您已了解API的用法與風險。"
"Private Key","私鑰"
"Private Key Phrase","私鑰短語"
"Public Key","公鑰"
"REST - Attributes","REST-屬性"
"REST - OAuth Authorized Token","REST-OAuth已授權令牌"
"REST - OAuth Consumer","REST-OAuth使用者"
"REST - Role","REST-角色"
"REST Attribute Rules","REST屬性規則"
"REST Role","REST角色"
"Readable","可讀"
"Reject","拒絕"
"Rejected Callback Url","拒絕訪問回調Url"
"Revoke","撤銷授權"
"Revoked","已撤銷"
"SOAP User","SOAP用戶"
"SOAP Role","SOAP角色"
"SOAP/RPC - Role","SOAP/RPC-角色"
"SOAP/RPC - User","SOAP/RPC-用戶"
"We use RSA cryptography to encrypt/decrypt data.","我們使用RSA算法加密/解密數據。"
"Writeable","可寫"
"Add item to shopping cart","加入購物車"
"Change shopping item quentity","修改商品數量"
"End web service session","終止網絡服務會話"
"Get cart infomation","獲取購物車信息"
"Get customer info by id","使用ID獲取顧客信息"
"Login user and retrive session id","用戶登錄；獲取回話ID"
"Remove item from shopping cart","移出購物車"
"Valid customer username and password","驗證顧客用戶名和密碼"
