"%d product(s) have been canceled recommendation successfully.","成功取消推薦了%d個商品。"
"%d product(s) have been deleted successfully.","成功刪除%d個商品。"
"%d product(s) have been recommended successfully.","成功推薦了%d個商品。"
"%d product(s) have been replenished successfully.","成功上架%d個產品"
"%d product(s) have been withdrawed successfully.","成功下架%d個產品"
"%d product(s) will been reselled.","成功恢復%d個商品。"
"Account Management","賬戶管理"
"Activity Registration","活動報名"
"Adapter cell phone","適配手機"
"Add Categorey","添加分類"
"Add Watermark","添加水印"
"Agency","代理"
"Application","開店申請"
"Application to open a store is completely free. Each ID could only open one store.","申請開店完全免費。每個賬號只能夠申請壹個店鋪。"
"Approving","等待審核"
"Are you sure you want pull these products off shelves?","妳確定要下架此商品嗎？"
"Are you sure to delete these records?","您確定要刪除這些記錄嗎？"
"Are you sure to delete this record?","您確定要刪除這條記錄嗎？"
"Are you sure you want recover these products?","您確定要恢復這些記錄嗎？"
"Are you sure you want put these products on shelves?","您確定要上架這些記錄嗎"
"Batch Delete","批量刪除"
"Brand","品牌"
"Brand Management","品牌管理"
"Cancel Recommendation","取消推薦"
"Category Name","分類名稱"
"Click farming check failed.","不能購買自己的產品"
"Compare Yesterday","較前日"
"Company","企業"
"Contact Infomation","聯系方式"
"Created at","創建時間"
"Current Position","當前位置"
"Current Template","當前模板"
"Currently no products sold.","當前無售出產品。"
"Description Match","描述相符"
"Edit Application","編輯申請"
"Edit Commodity","編輯商品"
"File Name","文件名"
"Free","免費"
"Go Shopping","進店逛逛"
"Goods","商品"
"History after Sale Service","歷史售後服務"
"ID Card 1","身份證正面"
"ID Card 2","身份證反面"
"Including Courier Charges","含快遞"
"Individual","個人"
"Invalid application ID","無效的ID"
"Less than %.2f%%", "低於%.2f%%"
"Licence","營業執照"
"Logistics Service","物流服務
"Logo","標誌"
"Marketing Center","營銷中心"
"Member Relationship Management","會員關系管理"
"Mobile Phone Store","手機店鋪"
"Move","移動"
"New","新建"
"New Visitor","新訪客"
"No return products.","暫時沒有退貨退款產品。"
"No record of historical goods","暫無歷史商品記錄。"
"No record of goods in the warehouse","倉庫中暫無商品記錄。"
"Not to sell goods","暫無出售中的商品。"
"Number of Visitors:&nbsp;","訪客數量"
"Old Visitor","老訪客"
"Order Form:&nbsp;","訂單"
"Own","自主"
"Paid","付費"
"PC","PC端"
"Product Category","商品類目"
"Product Management", "商品管理"
"Product Name","商品名稱"
"Phone Number","手機號"
"Photo Space","圖片空間"
"Promotion Management","促銷管理"
"Product Parameters","產品參數"
"Ranking","銷售排行"
"Reapply","重新申請"
"Recommend","櫥窗推薦"
"Recommended","櫥窗推薦"
"Release History", "歷史商品記錄"
"Release Product", "發布商品"
"Released at","發布時間"
"Refund Amount","退款金額"
"Register for a Business Account","申請開店"
"Register Now","立即申請"
"Rename","重命名"
"Replied successfully.","回復成功"
"Reply a Review","回復評論"
"Replenish","上架"
"Retailer Application", "開店申請"
"Retailer Center", "商家中心"
"Resell","恢復"
"Sales Amount","銷售金額"
"Sales Amount :&nbsp;","銷售金額"
"Save and Return","保存並返回"
"Selling Products", "出售中的商品"
"Service Attitude","服務態度"
"Select File","選擇文件"
"Set as Template","設為當前模板"
"Sort","排序"
"Statistics","統計信息"
"Store Category","店鋪分類"
"Store Decoration","店鋪裝修"
"Store Dynamic Score","實時指標"
"Store Infomation","店鋪信息"
"Store infomation has been updated successfully.","店鋪信息已更新成功。"
"Store Management","店鋪管理"
"Store Name","店鋪名稱"
"Stock Products", "倉庫中的商品"
"Store Settings","店鋪設置"
"Store Score","店鋪評分"
"Store Vistors Composing","店鋪流量構成"
"Supplementation","填寫信息"
"System Category","系統分類"
"Template has been deleted successfully.","模板已成功刪除。"
"The allowed maximum size of the uploading image is %s.","請上傳小於%s的圖片"
"The application has been refused.","申請已被拒絕！"
"The approval would speed 1~3 working days. Click here to know more about it.","審核將需要1-3個工作日。點擊這裏了解更多信息。"
"The lisence images are required and cannot be empty.","證件照片是必填項且不能為空。"
"There are no orders in your store with the conditions.","您的店鋪目前沒有滿足條件的訂單。"
"There are no orders in your store with the condition."店鋪當前沒有訂單！"
"There are no products in your store with the conditions.","您的店鋪目前沒有滿足條件的產品。"
"There is no category available.","沒有可用的類別。"
"There is no review about your products.","暫時沒有關於您的產品的評論。"
"This Month:&nbsp;","本月"
"This Week:&nbsp;","本周"
"Trade Manager","阿裏旺旺"
"Transaction Management", "交易管理"
"True Income","實收款"
"Type of Store","店鋪類型"
"Updated at","更新時間"
"Undercarriage","下架"
"View Store","查看店鋪"
"Watermark","水印"
"We recommended uploading images in %s pixels.","建議上傳%s像素的產品圖片。"
"WeChat","微信"
"Wireless","無線端"
"Withdraw","下架"
"Yesterday:&nbsp;","昨天"
"Your application is processing. Please wait for a while.","正在處理您的申請，請耐心等待。"
"Retailer", "賣家"
"Retailer Manager", "賣家管理員"
"Retailer Manager List", "賣家管理員列表"
"Retailer List", "賣家列表"
"Add New Reatailer Manager", "添加賣家管理員"
"Edit Manager / Retailer", "修改管理員 / 賣家"
"Add New Manager / Retailer", "添加管理員 / 賣家"
"Retailer Management", "賣家管理"
"Store name", "店鋪名稱"
"Store code", "店鋪編碼"
"Stores", "店鋪街"
"Add New Retailer", "新建賣家"
