"Add New Block","新建塊"
"Add New Category","新建分類"
"Add New Page","新建頁面"
"Add New Template","新建模板"
"Block Management","塊管理"
"Category","分類"
"Category Management","分類管理"
"CMS","內容管理"
"Content","內容"
"Edit Block","編輯塊信息"
"Edit Category","編輯分類信息"
"Edit Page","編輯頁面信息"
"Email Template","郵件模板"
"Identifier","標識符"
"Message Template","信息模板"
"Meta Keywords","元關鍵字"
"Meta Description","元描述"
"Page Management","頁面管理"
"Parent ID","上級ID"
"Resource","資源"
"Resource Management","資源管理"
"Resource Category","資源分類"
"Show Navigation","顯示導航菜單"
"Subject","主題"
"Uri Key","Uri關鍵字"
"Wechat Mini-program","微信小程序"
