"%d images allowed at most. The maximum size of each image is %s.","最多允许上传%d张图片；请上传小于%s的图片"
"%d images allowed at most.","最多允许上传%d张图片"
"%d Days Ago","%d天前"
"View All,%d Reivews","查看全部%d条评论"
"The User Likely to be Interested","您可能感兴趣的用户"
"Add New Article","发布新帖"
"Add Following","+关注"
"Address Book","地址簿"
"Author Only","只看楼主"
"Article Management","文章管理"
"Article Review","文章评论"
"Are related products","是否关联相关产品"
"After the associated product, the reader from your article click into the product order, your account will be awarded points, up to 15 items can be selected.","关联产品之后，读者从您的文章点击进入商品下单后，您的账号下将获得积分奖励，最多可选15个商品"
"Be Like","被赞"
"Be Collected","被收藏"
"Be Collected List","被收藏列表"
"Buy","购买"
"Cancel Follow","取消关注"
"Cancel Like","取消点赞"
"Community","社区"
"Disable Review","关闭评论"
"Default Category","默认分类"
"Edited","已编辑"
"Edit Post","编辑帖子"
"Edit Thread","编辑帖子"
"Expired at","过期时间"
"Fans List","粉丝列表"
"Find","发现"
"Forum","论坛"
"Forum Configuration","论坛配置"
"Forum Management","论坛管理"
"Forum Account","个人中心"
"Forum Home","论坛首页"
"From Post","来自帖子"
"Default Expiration of Poll","投票默认截止时间"
"Dislike","踩"
"Dynamic","关注动态"
"Following","关注"
"Followed","已关注"
"Follow Me","关注了我"
"Following List","关注列表"
"Fans","粉丝"
"Favorites","收藏"
"Hot","热门"
"His Release","TA的发布"
"His Posts","TA的文章"
"I Liked It","我赞过的"
"I Liked %s Post","我赞了%s的帖子"
"I Liked %s Reply","我赞了%s的回复"
"Impeach","举报"
"Impeached","被举报"
"Impeachment","举报"
"It is already the first picture.","已经是第一张图片"
"It is already the last picture.","已经是最后一张图片"
"It is not allowed to review until voted if No is specified.","如果设置为""否"", 必须先投票才可以评论。"
"Last comment was by.","暂无评论"
"Like","赞"
"Likes: %d","%d"
"Like/Dislike","赞/踩"
"Like/Dislike/Review","赞/踩/评论"
"Liked List","被赞列表"
"Account Logout","账户退出"
"Maximum Choices","最多可选项"
"Me","我"
"My Draft","我的草稿"
"My Release","我的发布"
"More Product","更多商品"
"No post available right now.","当前没有可浏览的帖子"
"No review available right now.","当前没有人评论该帖子"
"No movement for the time being.","暂无动态"
"No related products! ","暂无关联相关产品！"
"Only %d option(s) could be chosen at most.","最多可选择%d项"
"Personal Profile","个人资料"
"Post","帖子"
"Post Anonymously","匿名发帖"
"Post Management","帖子管理"
"Post New Pool","发起投票"
"Post New Thread","发表新帖"
"Post Image","发布主图"
"Publish","发布"
"Publish Articles","发布文章"
"Read More","查看更多"
"Reply to","回复"
"Reply to My Post","回复我的帖子"
"Reply to My Reply","回复我的回复"
"Reply Management","回复管理"
"Review Anonymously","匿名评论"
"Reviews: %d","评论: %d"
"Reviews","评论"
"Release your Comments","发布您的评论"
"Retaled Post","相关文章"
"Retaled Product","相关产品"
"Replace a batch of","更换一批"
"Set as Hot","设为热门"
"Set Post as New in Days","设置为新帖持续天数"
"Selection of topic classification","选择主题分类"
"Similar to Ta","与ta相似"
"Show All","显示全部"
"Social Management","社区管理"
"Status Before Approval","审核前状态"
"Stick","置顶"
"Successful deletion of current post.","成功删除当前帖子"
"The poll would be closed at %s.","投票将于%s结束"
"The post could be viewed after approved if Disabled is specified.","如果设置为""禁用"", 帖子将会在审核通过后才能浏览。"
"The post has been approved successfully.","帖子已审核通过"
"The post has been canceled to stick successfully.","帖子已成功取消置顶"
"The post has been canceled the hot status successfully.","帖子已成功取消热门状态"
"The post has been closed successfully.","帖子已关闭"
"The post has been set as hot successfully.","帖子已成功设为热门"
"The post has been stuck successfully.","帖子已成功置顶"
"The review could be viewed after approved if Disabled is specified.","如果设置为""禁用"", 评论将会在审核通过后才能浏览。"
"The review has been closed successfully.","评论已关闭"
"The review has been posted successfully.","评论成功"
"The review has been posted successfully. It would been viewed after approval.","评论成功，审核通过后即可浏览。"
"The thread has been posted successfully.","帖子保存成功"
"The thread has been posted successfully. It would been viewed after approval.","帖子发布成功，审核通过后即可浏览。"
"The user %s has collected my post","用户 %s 收藏了我的帖子"
"The user %s praised my post","用户 %s 点赞了我的帖子"
"The user %s praised my reply","用户 %s 点赞了我的回复"
"The current user has not posted a post for the time being.","当前用户暂时没有发布过帖子。"
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","图片太大，请按图片尺寸要求上传图片。"
"I Liked %s Post","我点赞了 %s 的帖子"
"I Liked %s Reply","我点赞了 %s 的回复"
"There is no post in the current classification.","当前分类暂无帖子。"
"There is no relate post now","暂无相关帖子"
"Today","今天"
"Using WYSIWYG Editor","使用富文本编辑器"
"Views: %d","浏览: %d"
"Vote","投票"
"Yesterday %d","昨天 %d点"
"You are not allowed to post. Please contact us if you have any doubt.","您被禁止发帖，如有疑问请联系我们。"
"You are not allowed to review. Please contact us if you have any doubt.","您被禁止回帖，如有疑问请联系我们。"
"You have already voted.","您已参与过投票"
"You have voted successfully.","您已成功投票"
"You have to post threads after %sLogin/Register%s","您需要%s登录/注册%s后才能发帖"
"You have to review after %sLogin/Register%s","您需要%s登录/注册%s后才能评论"
"You have to vote after %sLogin/Register%s","您需要%s登录/注册%s后才能投票"
"You might like it","您可能会喜欢"
"You have succeeded in paying attention to this user.","您已成功关注此用户。"
"You have succeeded in collecting this post.","您已成功收藏此帖子。"
"You have successfully read this post.","您已成功赞了此帖子。"
"You have cancelled the collection of current posts.","您已取消收藏当前帖子"
"You have removed your attention to this user.","您已取消对此用户的关注。"
"User Space","用户空间"
"Save as Draft","存为草稿"
"Are you sure to publish this post?", "你确定要发布这篇帖子？"
"Successful publish the current post.", "帖子发布成功"
"Video","视频"
"System recommended","系统推荐"
"Hashtags management","标签管理"
"Add hashtags","添加标签"
"Edit Hashtags","编辑标签"
"Hashtags","标签"
"I Favorited It","我收藏的"
"Add Vote","添加投票"
"Poll management","投票管理"
"Subscription Management","订阅管理"
"Post Like Management","帖子点赞管理"
"Subscribed Customer","已订阅用户"
"Add Links","添加链接"
"Please choose topic","请选择分类"
"Please enter title","请输入标题"
"The title or content contains pornographic or political words","标题或内容含有色情或政治字句"
"get wechat accesstoken fail","拿微信的token失败"
"The post published successfully","帖子发布成功"
"The post published failure","帖子发布失败"
"%s just followed you","%s 刚刚关注了你"
"Your post %s just cancelled liked by %s","你的帖子 %s 刚刚被 %s 取消点赞"
"Your post %s just liked by %s","你的帖子 %s 刚刚被 %s 取消点赞了"
"Your post %s just cancelled favorited by %s","你的帖子 %s 刚刚被 %s 取消收藏了"
"Your post %s just favorited by %s","你的帖子 %s 刚刚被 %s 收藏了"
"Your post %s just has been reviewed by %s","你的帖子 %s 刚刚收到了来自 %s 的留言"
"Your review just has been replied by %s in %s","你的留言 %s 刚刚回复在 %s "
"Post Quick Edit","帖子快速更新"
"Post Statistics","帖子统计"
"Explore","发现"
