"Add New Attribute","新建屬性"
"Add New Attribute Group","新建屬性組"
"Add New Attribute Set","新建屬性集"
"Add New Customer Media","新建媒體"
"Attribute Management","屬性管理"
"Attribute Set","屬性集"
"Attribute Set Management","屬性集管理"
"Attributes","屬性"
"Charector","字符"
"CheckBox","復選框"
"Comparable","可比較"
"Color","顏色"
"Color hls","顏色HLS"
"Date","日期"
"Date&amp;Time","日期&amp;時間"
"Date/Time","日期/時間"
"Date Range","日期範圍"
"Decimal","小數"
"Default Value","默認值"
"Dropdown","下拉菜單"
"Edit Customer Media","編輯媒體"
"File","文件"
"Filterable","可篩選"
"Icon","圖標"
"Integer","整數"
"Input Widget","輸入控件"
"Is Required","必填項"
"Is Unique","唯壹值"
"Label","標簽"
"Label / Options","標簽/選項"
"Link","鏈接"
"Multi-Select","多選菜單"
"Next","下壹步"
"Number","數值"
"Options","選項"
"Radio","單選按鈕"
"Searchable","可搜索"
"Select","選擇"
"Select Attribute Set","選擇屬性集"
"Sortable","可排序"
"Text","文本"
"Textarea","文本域"
"Html Textarea","GTML文本域"
"Time","時間"
"Type","類型"
"Unapplied Attribute","未應用的屬性"
"Validation","驗證"
"Multilingual","可多語言"
