"ALL","全部"
"Admin\Api\Oauth\Consumer::delete","刪除OAuth使用者"
"Admin\Api\Oauth\Consumer::edit","編輯OAuth使用者"
"Admin\Api\Oauth\Consumer::index","查看OAuth使用者"
"Admin\Api\Oauth\Consumer::save","保存OAuth使用者"
"Admin\Api\Oauth\Token::delete","刪除OAuth授權碼"
"Admin\Api\Oauth\Token::grant","批準OAuth授權"
"Admin\Api\Oauth\Token::index","查看OAuth授權碼"
"Admin\Api\Oauth\Token::revoke","取消Oauth授權"
"Admin\Api\Rest\Attribute::edit","編輯REST屬性"
"Admin\Api\Rest\Attribute::index","查看REST屬性"
"Admin\Api\Rest\Attribute::save","保存REST屬性"
"Admin\Api\Rest\Role::delete","刪除REST角色"
"Admin\Api\Rest\Role::edit","編輯REST角色"
"Admin\Api\Rest\Role::index","查看REST角色"
"Admin\Api\Rest\Role::save","保存REST角色"
"Admin\Api\Soap\Role::delete","刪除SOAP角色"
"Admin\Api\Soap\Role::edit","編輯SOAP角色"
"Admin\Api\Soap\Role::index","查看SOAP角色"
"Admin\Api\Soap\Role::save","保存SOAP角色"
"Admin\Api\Soap\User::delete","刪除SOAP用戶"
"Admin\Api\Soap\User::edit","編輯SOAP用戶"
"Admin\Api\Soap\User::index","查看SOAP用戶"
"Admin\Api\Soap\User::save","保存SOAP用戶"
"Admin\Cache::flush","清空緩存"
"Admin\Cache::index","查看緩存列表"
"Admin\Cache::pudgeImage","清除圖片緩存"
"Admin\Catalog\Attribute::delete","刪除產品屬性"
"Admin\Catalog\Attribute::edit","編輯產品屬性"
"Admin\Catalog\Attribute::index","查看產品屬性"
"Admin\Catalog\Attribute::save","保存產品屬性"
"Admin\Catalog\Attribute\Group::delete","刪除產品屬性組"
"Admin\Catalog\Attribute\Group::save","保存產品屬性組"
"Admin\Catalog\Attribute\Set::delete","刪除產品屬性集"
"Admin\Catalog\Attribute\Set::edit","編輯產品屬性集"
"Admin\Catalog\Attribute\Set::index","查看產品屬性集"
"Admin\Catalog\Attribute\Set::save","保存產品屬性集"
"Admin\Catalog\Category::delete","刪除產品分類"
"Admin\Catalog\Category::edit","編輯產品分類"
"Admin\Catalog\Category::index","查看產品分類"
"Admin\Catalog\Category::order","產品分類排序"
"Admin\Catalog\Category::product","分類中產品排序"
"Admin\Catalog\Category::save","保存產品分類"
"Admin\Catalog\Product::delete","刪除產品"
"Admin\Catalog\Product::edit","編輯產品"
"Admin\Catalog\Product::index","查看產品"
"Admin\Catalog\Product::list","獲取產品列表"
"Admin\Catalog\Product::save","保存產品"
"Admin\Catalog\Product\Rating::delete","刪除評分項"
"Admin\Catalog\Product\Rating::edit","編輯評分項"
"Admin\Catalog\Product\Rating::index","查看評分項"
"Admin\Catalog\Product\Rating::save","保存評分項"
"Admin\Catalog\Product\Review::delete","刪除評論"
"Admin\Catalog\Product\Review::edit","編輯評論"
"Admin\Catalog\Product\Review::index","查看評論"
"Admin\Catalog\Product\Review::save","保存評論"
"Admin\Catalog\Sitemap::index","查看網站地圖"
"Admin\Cms\Block::delete","刪除靜態塊"
"Admin\Cms\Block::edit","編輯靜態塊"
"Admin\Cms\Block::index","查看靜態塊"
"Admin\Cms\Block::save","保存靜態塊"
"Admin\Cms\Category::delete","刪除頁面分類"
"Admin\Cms\Category::edit","編輯頁面分類"
"Admin\Cms\Category::index","查看頁面分類"
"Admin\Cms\Category::save","保存頁面分類"
"Admin\Cms\Page::delete","刪除靜態頁面"
"Admin\Cms\Page::edit","編輯靜態頁面"
"Admin\Cms\Page::index","查看靜態頁面"
"Admin\Cms\Page::save","保存靜態頁面"
"Admin\Config::balance","余額配置"
"Admin\Config::catalog","目錄配置"
"Admin\Config::checkout","結算配置"
"Admin\Config::customer","顧客配置"
"Admin\Config::email","郵件配置"
"Admin\Config::global","全局配置"
"Admin\Config::i18n","貨幣配置"
"Admin\Config::index","配置信息"
"Admin\Config::livechat","在線咨詢配置"
"Admin\Config::message","短信配置"
"Admin\Config::payment","支付方式配置"
"Admin\Config::rewardpoints","積分配置"
"Admin\Config::save","保存配置"
"Admin\Config::shipping","配送方式配置"
"Admin\Config::theme","主題配置"
"Admin\Customer\Address::delete","刪除顧客地址"
"Admin\Customer\Address::save","保存顧客地址"
"Admin\Customer\Attribute::delete","刪除顧客屬性"
"Admin\Customer\Attribute::edit","編輯顧客屬性"
"Admin\Customer\Attribute::index","查看顧客屬性"
"Admin\Customer\Attribute::save","保存顧客屬性"
"Admin\Customer\Attribute\Address::delete","刪除顧客地址屬性"
"Admin\Customer\Attribute\Address::edit","編輯顧客地址屬性"
"Admin\Customer\Attribute\Address::index","查看顧客地址屬性"
"Admin\Customer\Attribute\Address::save","保存顧客地址屬性"
"Admin\Customer\Attribute\Group::delete","刪除顧客屬性組屬性"
"Admin\Customer\Attribute\Group::save","保存顧客屬性組屬性"
"Admin\Customer\Attribute\Set::delete","刪除顧客屬性集"
"Admin\Customer\Attribute\Set::edit","編輯顧客屬性集"
"Admin\Customer\Attribute\Set::index","查看顧客屬性集"
"Admin\Customer\Attribute\Set::save","保存顧客屬性集"
"Admin\Customer\Creditcard::index","查看信用卡信息"
"Admin\Customer\Draw::edit","編輯提現申請"
"Admin\Customer\Draw::index","查看提現申請列表"
"Admin\Customer\Draw::save","保存提現申請"
"Admin\Customer\Group::delete","刪除顧客組"
"Admin\Customer\Group::edit","編輯顧客組"
"Admin\Customer\Group::index","查看顧客組"
"Admin\Customer\Group::save","保存顧客組"
"Admin\Customer\Level::delete","刪除顧客等級"
"Admin\Customer\Level::edit","編輯顧客等級"
"Admin\Customer\Level::index","查看顧客等級"
"Admin\Customer\Level::save","保存顧客等級"
"Admin\Customer\Manage::delete","刪除顧客"
"Admin\Customer\Manage::edit","編輯顧客"
"Admin\Customer\Manage::index","查看顧客"
"Admin\Customer\Manage::save","保存顧客"
"Admin\Customer\Media::delete","刪除社交媒體"
"Admin\Customer\Media::edit","編輯社交媒體"
"Admin\Customer\Media::index","查看社交媒體"
"Admin\Customer\Media::save","保存社交媒體"
"Admin\Dashboard::index","統計圖表"
"Admin\Dashboard::visitors","訪客記錄"
"Admin\Dataflow\Abstract::prepareImport","準備導入數據"
"Admin\Dataflow\Address::export","導出顧客地址"
"Admin\Dataflow\Address::import","導入顧客地址"
"Admin\Dataflow\Address::prepareImport","準備導入地址數據"
"Admin\Dataflow\Address::processExport","導出地址數據處理"
"Admin\Dataflow\Address::processImport","導入地址數據處理"
"Admin\Dataflow\Address::template","導出地址數據模板"
"Admin\Dataflow\Customer::export","導出顧客"
"Admin\Dataflow\Customer::import","導入顧客"
"Admin\Dataflow\Customer::prepareImport","準備導入顧客數據"
"Admin\Dataflow\Customer::processExport","導出顧客數據處理"
"Admin\Dataflow\Customer::processImport","導入顧客數據處理"
"Admin\Dataflow\Customer::template","導出顧客模板"
"Admin\Dataflow\Product::export","導出產品"
"Admin\Dataflow\Product::import","導入產品"
"Admin\Dataflow\Product::prepareImport","準備導入產品"
"Admin\Dataflow\Product::processExport","導出產品數據處理"
"Admin\Dataflow\Product::processImport","導入產品數據處理"
"Admin\Dataflow\Product::template","導出產品模板"
"Admin\Dataflow\Stock::export","導出產品庫存"
"Admin\Dataflow\Stock::import","導入產品庫存"
"Admin\Dataflow\Stock::prepareImport","準備導入產品庫存"
"Admin\Dataflow\Stock::processExport","導出產品庫存處理"
"Admin\Dataflow\Stock::processImport","導入產品庫存處理"
"Admin\Dataflow\Stock::template","導出產品庫存模板"
"Admin\Email\Queue::delete","刪除郵件隊列"
"Admin\Email\Queue::index","查看郵件隊列"
"Admin\Email\Queue::test","測試發送郵件"
"Admin\Email\Queue::schedule","發送郵件"
"Admin\Email\Subscriber::delete","刪除新聞訂閱者"
"Admin\Email\Subscriber::index","查看新聞訂閱者"
"Admin\Email\Template::delete","刪除郵件模板"
"Admin\Email\Template::edit","編輯郵件模板"
"Admin\Email\Template::index","查看郵件模板"
"Admin\Email\Template::save","保存郵件模板"
"Admin\I18n\Currency::edit","編輯貨幣"
"Admin\I18n\Currency::index","查看貨幣"
"Admin\I18n\Currency::save","保存貨幣"
"Admin\I18n\Currency::sync","同步貨幣匯率"
"Admin\I18n\Language::delete","刪除語言"
"Admin\I18n\Language::edit","編輯語言"
"Admin\I18n\Language::list","查看語言"
"Admin\I18n\Language::save","保存語言"
"Admin\I18n\Merchant::delete","刪除商城"
"Admin\I18n\Merchant::edit","編輯商城"
"Admin\I18n\Merchant::save","保存商城"
